second,quic,tcp,orbit,pep,iw,loss
5.000000000000001,15715.542835005841,9228.524053551293,leo,1,"10,100,100,10",10^0
5.1000000000000005,15753.139499356821,9291.665355490251,leo,1,"10,100,100,10",10^0
5.200000000000001,15789.701483263652,9353.805570720782,leo,1,"10,100,100,10",10^0
5.300000000000001,15835.01564387034,9407.803456632044,leo,1,"10,100,100,10",10^0
5.4,15863.95133277729,9453.94108624583,leo,1,"10,100,100,10",10^0
5.500000000000001,15904.663683852408,9524.362934080262,leo,1,"10,100,100,10",10^0
5.6000000000000005,15931.18559600031,9573.359610820326,leo,1,"10,100,100,10",10^0
5.700000000000001,15965.838509641117,9643.926491034821,leo,1,"10,100,100,10",10^0
5.800000000000001,15996.69731256405,9696.774619846688,leo,1,"10,100,100,10",10^0
5.9,16030.5697162336,9757.914171839542,leo,1,"10,100,100,10",10^0
6.000000000000001,16047.295320457923,9798.336516172416,leo,1,"10,100,100,10",10^0
6.1000000000000005,16077.693758558416,9849.335533856647,leo,1,"10,100,100,10",10^0
6.200000000000001,16102.9487780106,9907.331335489149,leo,1,"10,100,100,10",10^0
6.300000000000001,16131.17939550974,9957.470235043838,leo,1,"10,100,100,10",10^0
6.4,16155.592739321835,10030.182456913284,leo,1,"10,100,100,10",10^0
6.500000000000001,16186.032838323274,10078.17621624414,leo,1,"10,100,100,10",10^0
6.6000000000000005,16213.073033327359,10143.456905753874,leo,1,"10,100,100,10",10^0
6.700000000000001,16238.252122006901,10200.88048236678,leo,1,"10,100,100,10",10^0
6.800000000000001,16271.9029526886,10273.875624132066,leo,1,"10,100,100,10",10^0
6.9,16292.655248662717,10331.296300255755,leo,1,"10,100,100,10",10^0
7.000000000000001,16309.77514227555,10406.29476427432,leo,1,"10,100,100,10",10^0
7.1000000000000005,16337.056543684252,10466.00032239759,leo,1,"10,100,100,10",10^0
7.200000000000001,16359.568851327434,10523.419672297005,leo,1,"10,100,100,10",10^0
