second,quic,tcp,orbit,pep,iw,loss
28.0,15849.536956995888,11674.626841546571,leo,0,"10,10,10,10",10^-02
29.0,15773.21116867368,11242.708916722071,leo,0,"10,10,10,10",10^-02
30.0,15558.312191710967,10978.5387707057,leo,0,"10,10,10,10",10^-02
1.0,7964.329262689267,4292.328787591491,leo,0,"10,10,10,10",0
2.0,17883.010939899614,9739.51165860116,leo,0,"10,10,10,10",0
3.0,17885.89471195034,18011.43210511957,leo,0,"10,10,10,10",0
4.0,17885.815216558087,18039.67153744846,leo,0,"10,10,10,10",0
5.0,17885.292187197014,18038.356412431123,leo,0,"10,10,10,10",0
6.0,18375.07073507737,18003.94117517914,leo,0,"10,10,10,10",0
7.0,17751.342861470184,17921.943398924213,leo,0,"10,10,10,10",0
8.0,17861.648005215087,18011.368341626778,leo,0,"10,10,10,10",0
9.0,17886.537490071292,18035.141350869788,leo,0,"10,10,10,10",0
10.0,17887.223565392935,18044.270878961917,leo,0,"10,10,10,10",0
11.0,17880.936089399776,18033.270577707433,leo,0,"10,10,10,10",0
12.0,18321.372553465117,18028.336120645825,leo,0,"10,10,10,10",0
13.0,19746.46907429614,17975.271158414875,leo,0,"10,10,10,10",0
14.0,19196.519578457413,17943.758960158775,leo,0,"10,10,10,10",0
15.0,18726.101193575218,18031.37437782101,leo,0,"10,10,10,10",0
16.0,17872.17715661842,18031.951864909886,leo,0,"10,10,10,10",0
17.0,17869.079115258966,18037.994855578007,leo,0,"10,10,10,10",0
18.0,21661.805617132362,18039.872745084853,leo,0,"10,10,10,10",0
19.0,23062.45210165097,18003.900022562306,leo,0,"10,10,10,10",0
20.0,20982.584650072393,17965.21559405454,leo,0,"10,10,10,10",0
21.0,22039.87425739579,17971.94733659475,leo,0,"10,10,10,10",0
22.0,18617.43807260547,18039.024986269455,leo,0,"10,10,10,10",0
23.0,17861.50057834876,18033.227921224257,leo,0,"10,10,10,10",0
24.0,17839.91733372504,18041.093411272785,leo,0,"10,10,10,10",0
25.0,17850.79329883759,18016.841772751584,leo,0,"10,10,10,10",0
26.0,18419.682968969777,17993.030394316433,leo,0,"10,10,10,10",0
27.0,19657.98686109581,17962.894117217802,leo,0,"10,10,10,10",0
28.0,17771.60491889688,18010.541899639476,leo,0,"10,10,10,10",0
29.0,17820.134318233202,18030.827091814892,leo,0,"10,10,10,10",0
30.0,18099.09721064311,18036.277500575135,leo,0,"10,10,10,10",0
1.0,6878.547476577967,4897.272645740208,leo,1,"10,100,100,10",10^-01
2.0,11861.56757397914,8667.10701472341,leo,1,"10,100,100,10",10^-01
3.0,14939.316581313737,9698.623298508839,leo,1,"10,100,100,10",10^-01
4.0,12669.26122044704,11829.651036741354,leo,1,"10,100,100,10",10^-01
5.0,11037.523624739446,8157.601342546918,leo,1,"10,100,100,10",10^-01
6.0,10124.974931845263,6879.155261536353,leo,1,"10,100,100,10",10^-01
7.0,9097.488855708636,5762.408820153873,leo,1,"10,100,100,10",10^-01
8.0,8038.15080025399,5751.016739342513,leo,1,"10,100,100,10",10^-01
9.0,6964.798545433899,5532.0630435450885,leo,1,"10,100,100,10",10^-01
10.0,6224.012896041979,5280.428098820148,leo,1,"10,100,100,10",10^-01
11.0,5742.424689610597,5046.442570857486,leo,1,"10,100,100,10",10^-01
12.0,5421.120678342239,5050.518708926838,leo,1,"10,100,100,10",10^-01
13.0,5421.894597490373,5186.60189448152,leo,1,"10,100,100,10",10^-01
14.0,5303.779135969215,4945.745023326384,leo,1,"10,100,100,10",10^-01
15.0,5114.354278220781,5074.621527082614,leo,1,"10,100,100,10",10^-01
16.0,5555.230345394774,5043.855705072059,leo,1,"10,100,100,10",10^-01
17.0,5300.627629554545,4938.858117891157,leo,1,"10,100,100,10",10^-01
18.0,5033.819177652932,4828.105430720465,leo,1,"10,100,100,10",10^-01
19.0,5008.850236892463,4729.141130127908,leo,1,"10,100,100,10",10^-01
20.0,5096.746303715105,4721.437256912732,leo,1,"10,100,100,10",10^-01
21.0,5067.9314691396885,5020.906860207319,leo,1,"10,100,100,10",10^-01
22.0,5207.160682400659,5113.513718192276,leo,1,"10,100,100,10",10^-01
23.0,4979.46573167684,4915.987224518358,leo,1,"10,100,100,10",10^-01
24.0,4835.38173369986,5179.247992568492,leo,1,"10,100,100,10",10^-01
25.0,5605.235512012512,4967.910233714862,leo,1,"10,100,100,10",10^-01
26.0,5213.899022797985,5114.757237162387,leo,1,"10,100,100,10",10^-01
27.0,4826.025612427567,5044.516678700751,leo,1,"10,100,100,10",10^-01
28.0,4454.655294913844,5121.895455199541,leo,1,"10,100,100,10",10^-01
29.0,4541.553531279047,5295.416430527563,leo,1,"10,100,100,10",10^-01
30.0,4333.165165146335,5441.386130617636,leo,1,"10,100,100,10",10^-01
1.0,407.9345651289128,606.5284132046153,geo,0,"10,10,10,10",10^-01
2.0,1397.4533658490748,947.8461342852817,geo,0,"10,10,10,10",10^-01
3.0,1846.366417614629,1749.54839835019,geo,0,"10,10,10,10",10^-01
4.0,6146.1349855225435,3333.7689685393607,geo,0,"10,10,10,10",10^-01
5.0,6558.317437074225,4277.649617186184,geo,0,"10,10,10,10",10^-01
